id_reserva,id_cliente,nombre,apellido,mail,competencia,inicio_estancia,final_estancia,id_hotel,ciudad,id,nombre_hotel,valoracion,precio_noche,fecha_reserva,id_ciudad
1,5311,Feliciana,Cantón,feliciana.cantón@example.com,True,2025-03-01,2025-03-02,27,Madrid,1,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
2,8310,Leonardo,Hierro,leonardo.hierro@example.com,True,2025-03-01,2025-03-02,23,Madrid,2,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
3,8047,Judith,Rivas,judith.rivas@example.com,True,2025-03-01,2025-03-02,25,Madrid,8,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
4,204,Adolfo,Cuervo,adolfo.cuervo@example.com,True,2025-03-01,2025-03-02,21,Madrid,10,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
5,9762,María Carmen,Navarro,maría carmen.navarro@example.com,True,2025-03-01,2025-03-02,28,Madrid,12,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
6,12323,Ricardo,Caballero,ricardo.caballero@example.com,True,2025-03-01,2025-03-02,24,Madrid,13,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
7,8914,Luna,Segovia,luna.segovia@example.com,True,2025-03-01,2025-03-02,21,Madrid,15,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
8,8997,Lázaro,Pardo,lázaro.pardo@example.com,True,2025-03-01,2025-03-02,26,Madrid,17,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
9,1158,Angelina,Priego,angelina.priego@example.com,True,2025-03-01,2025-03-02,20,Madrid,32,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
10,13863,Tiburcio,Pujol,tiburcio.pujol@example.com,True,2025-03-01,2025-03-02,25,Madrid,36,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
11,2566,Carolina,Alberdi,carolina.alberdi@example.com,True,2025-03-01,2025-03-02,28,Madrid,42,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
12,10939,Noé,Cantón,noé.cantón@example.com,True,2025-03-01,2025-03-02,26,Madrid,44,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
13,9744,María Belén,Escalona,maría belén.escalona@example.com,True,2025-03-01,2025-03-02,29,Madrid,47,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
14,3504,Curro,Martín,curro.martín@example.com,True,2025-03-01,2025-03-02,27,Madrid,48,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
15,10121,Melania,Abascal,melania.abascal@example.com,True,2025-03-01,2025-03-02,27,Madrid,51,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
16,11811,Primitivo,Meléndez,primitivo.meléndez@example.com,True,2025-03-01,2025-03-02,25,Madrid,53,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
17,764,Amalia,Bayón,amalia.bayón@example.com,True,2025-03-01,2025-03-02,20,Madrid,55,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
18,396,Aitana,Dalmau,aitana.dalmau@example.com,True,2025-03-01,2025-03-02,26,Madrid,57,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
19,3856,Dionisia,Grau,dionisia.grau@example.com,True,2025-03-01,2025-03-02,28,Madrid,63,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
20,6682,Iker,Catalán,iker.catalán@example.com,True,2025-03-01,2025-03-02,25,Madrid,68,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
21,3150,Cleto,Rosa,cleto.rosa@example.com,True,2025-03-01,2025-03-02,20,Madrid,71,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
22,1785,Baltasar,Cabello,baltasar.cabello@example.com,True,2025-03-01,2025-03-02,26,Madrid,73,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
23,12610,Rosalva,Cabañas,rosalva.cabañas@example.com,True,2025-03-01,2025-03-02,22,Madrid,79,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
24,774,Amalia,Teruel,amalia.teruel@example.com,True,2025-03-01,2025-03-02,20,Madrid,82,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
25,10265,Miguela,Sanz,miguela.sanz@example.com,True,2025-03-01,2025-03-02,26,Madrid,85,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
26,1829,Baudelio,Ayllón,baudelio.ayllón@example.com,True,2025-03-01,2025-03-02,29,Madrid,89,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
27,1217,Ani,Criado,ani.criado@example.com,True,2025-03-01,2025-03-02,26,Madrid,90,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
28,1372,Apolonia,Bernat,apolonia.bernat@example.com,True,2025-03-01,2025-03-02,26,Madrid,91,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
29,2184,Bruno,Bayo,bruno.bayo@example.com,True,2025-03-01,2025-03-02,29,Madrid,92,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
30,13612,Tania,Hoz,tania.hoz@example.com,True,2025-03-01,2025-03-02,27,Madrid,94,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
31,3615,Dalila,Yáñez,dalila.yáñez@example.com,True,2025-03-01,2025-03-02,26,Madrid,96,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
32,10039,Mauricio,Gómez,mauricio.gómez@example.com,True,2025-03-01,2025-03-02,27,Madrid,98,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
33,4247,Eleuterio,Marín,eleuterio.marín@example.com,True,2025-03-01,2025-03-02,25,Madrid,99,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
34,14894,Úrsula,Belmonte,úrsula.belmonte@example.com,True,2025-03-01,2025-03-02,21,Madrid,100,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
35,4829,Ester,Cabo,ester.cabo@example.com,True,2025-03-01,2025-03-02,28,Madrid,101,ibis budget Madrid Centro las Ventas,4.3,75.0,2025-02-19,1
36,10917,Noemí,Ángel,noemí.ángel@example.com,True,2025-03-01,2025-03-02,23,Madrid,106,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
37,13606,Tania,Campo,tania.campo@example.com,True,2025-03-01,2025-03-02,27,Madrid,109,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
38,5207,Fabricio,Lladó,fabricio.lladó@example.com,True,2025-03-01,2025-03-02,20,Madrid,110,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
39,7798,José,Azcona,josé.azcona@example.com,True,2025-03-01,2025-03-02,20,Madrid,113,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
40,2543,Carmen,Roma,carmen.roma@example.com,True,2025-03-01,2025-03-02,20,Madrid,117,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
41,3651,Dani,Benet,dani.benet@example.com,True,2025-03-01,2025-03-02,29,Madrid,118,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
42,11667,Perlita,Peiró,perlita.peiró@example.com,True,2025-03-01,2025-03-02,25,Madrid,120,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
43,10620,Natividad,Ariño,natividad.ariño@example.com,True,2025-03-01,2025-03-02,21,Madrid,123,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
44,6614,Humberto,Iborra,humberto.iborra@example.com,True,2025-03-01,2025-03-02,23,Madrid,124,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
45,9479,Maribel,Cortes,maribel.cortes@example.com,True,2025-03-01,2025-03-02,27,Madrid,126,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
46,11025,Obdulia,Elorza,obdulia.elorza@example.com,True,2025-03-01,2025-03-02,23,Madrid,128,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
47,12641,Rosario,Hurtado,rosario.hurtado@example.com,True,2025-03-01,2025-03-02,25,Madrid,131,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
48,10311,Mirta,Campoy,mirta.campoy@example.com,True,2025-03-01,2025-03-02,24,Madrid,132,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
49,1316,Antonio,Sosa,antonio.sosa@example.com,True,2025-03-01,2025-03-02,20,Madrid,133,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
50,11157,Olga,Seguí,olga.seguí@example.com,True,2025-03-01,2025-03-02,22,Madrid,134,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
51,7929,Juan Manuel,Arenas,juan manuel.arenas@example.com,True,2025-03-01,2025-03-02,22,Madrid,141,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
52,13983,Toño,Ojeda,toño.ojeda@example.com,True,2025-03-01,2025-03-02,20,Madrid,142,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
53,10048,Mauricio,Rubio,mauricio.rubio@example.com,True,2025-03-01,2025-03-02,23,Madrid,143,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
54,1402,Ariadna,Carlos,ariadna.carlos@example.com,True,2025-03-01,2025-03-02,20,Madrid,144,ibis Madrid Calle Alcalá,4.5,78.0,2025-02-19,1
55,8228,Leandra,Rubio,leandra.rubio@example.com,True,2025-03-01,2025-03-02,27,Madrid,146,ibis budget Madrid Centro Lavapies,4.3,106.0,2025-02-19,1
56,14786,Ángela,Figueras,ángela.figueras@example.com,True,2025-03-01,2025-03-02,22,Madrid,147,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
57,2219,Buenaventura,Murillo,buenaventura.murillo@example.com,True,2025-03-01,2025-03-02,29,Madrid,148,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
58,6151,Gracia,Casanovas,gracia.casanovas@example.com,True,2025-03-01,2025-03-02,26,Madrid,149,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
59,9517,Maricruz,Gutierrez,maricruz.gutierrez@example.com,True,2025-03-01,2025-03-02,29,Madrid,162,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
60,7147,Jafet,Flor,jafet.flor@example.com,True,2025-03-01,2025-03-02,25,Madrid,163,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
61,13508,Soraya,Ferreras,soraya.ferreras@example.com,True,2025-03-01,2025-03-02,22,Madrid,166,ibis Madrid Getafe,4.4,64.0,2025-02-19,1
62,4955,Eusebio,Adán,eusebio.adán@example.com,True,2025-03-01,2025-03-02,26,Madrid,168,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
63,12585,Rosalinda,Campillo,rosalinda.campillo@example.com,True,2025-03-01,2025-03-02,26,Madrid,169,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
64,3939,Domingo,Sastre,domingo.sastre@example.com,True,2025-03-01,2025-03-02,29,Madrid,173,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
65,99,Abril,Molins,abril.molins@example.com,True,2025-03-01,2025-03-02,21,Madrid,174,ibis Madrid Centro las Ventas,4.5,90.0,2025-02-19,1
66,13636,Tatiana,Salas,tatiana.salas@example.com,True,2025-03-01,2025-03-02,26,Madrid,175,ibis budget Madrid Calle Alcalá,4.3,71.0,2025-02-19,1
67,8582,Loida,Vargas,loida.vargas@example.com,True,2025-03-01,2025-03-02,25,Madrid,176,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
68,8418,Leyre,Macias,leyre.macias@example.com,True,2025-03-01,2025-03-02,23,Madrid,182,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
69,6526,Hilario,Rivera,hilario.rivera@example.com,True,2025-03-01,2025-03-02,23,Madrid,188,ibis Styles Madrid Centro Maravillas,4.7,114.0,2025-02-19,1
70,9806,María Del Carmen,Pintor,maría del carmen.pintor@example.com,True,2025-03-01,2025-03-02,29,Madrid,190,ibis budget Madrid Vallecas,4.3,70.0,2025-02-19,1
71,11438,Pastor,Martín,pastor.martín@example.com,True,2025-03-01,2025-03-02,25,Madrid,191,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
72,9026,Macaria,Giménez,macaria.giménez@example.com,True,2025-03-01,2025-03-02,25,Madrid,193,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
73,10503,Nacio,Galán,nacio.galán@example.com,True,2025-03-01,2025-03-02,24,Madrid,202,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
74,5447,Fernando,Merino,fernando.merino@example.com,True,2025-03-01,2025-03-02,24,Madrid,215,ibis Styles Madrid City Las Ventas,4.6,98.0,2025-02-19,1
75,14365,Vilma,Perez,vilma.perez@example.com,True,2025-03-01,2025-03-02,25,Madrid,217,ibis budget Madrid Calle 30,4.4,79.0,2025-02-19,1
